"Step","Test run at 20230619-162657 with (16, 32, 64, 128), res: 2 - train_loss","Test run at 20230619-162657 with (16, 32, 64, 128), res: 2 - train_loss__MIN","Test run at 20230619-162657 with (16, 32, 64, 128), res: 2 - train_loss__MAX"
"0","0.9382819815685874","0.9382819815685874","0.9382819815685874"
"1","0.7660903899293197","0.7660903899293197","0.7660903899293197"
"2","0.6890357011242917","0.6890357011242917","0.6890357011242917"
"3","0.5828606272998609","0.5828606272998609","0.5828606272998609"
"4","0.4542737342809376","0.4542737342809376","0.4542737342809376"
"5","0.3145988244759409","0.3145988244759409","0.3145988244759409"
"6","0.2241799411020781","0.2241799411020781","0.2241799411020781"
"7","0.18128501004294345","0.18128501004294345","0.18128501004294345"
"8","0.16038145611160678","0.16038145611160678","0.16038145611160678"
"9","0.14523030205776816","0.14523030205776816","0.14523030205776816"
"10","0.1300194228166028","0.1300194228166028","0.1300194228166028"
"11","0.12447807232016012","0.12447807232016012","0.12447807232016012"
"12","0.11772683200083281","0.11772683200083281","0.11772683200083281"
"13","0.10937002536497618","0.10937002536497618","0.10937002536497618"
"14","0.11004495338389748","0.11004495338389748","0.11004495338389748"
"15","0.10399412771588877","0.10399412771588877","0.10399412771588877"
"16","0.09693572042804015","0.09693572042804015","0.09693572042804015"
"17","0.09809938002573816","0.09809938002573816","0.09809938002573816"
"18","0.0962471435728826","0.0962471435728826","0.0962471435728826"
"19","0.0934648608690814","0.0934648608690814","0.0934648608690814"